Entity,Code,Year,Gas - Proved reserves
Africa,,1980,5745695590972.9
Africa,,1981,5672843456268.311
Africa,,1982,6030209541320.801
Africa,,1983,6032937526702.881
Africa,,1984,5964087486267.09
Africa,,1985,5913750171661.377
Africa,,1986,7093112468719.482
Africa,,1987,7074612617492.676
Africa,,1988,7351974964141.846
Africa,,1989,8104049682617.1875
Africa,,1990,8179175376892.09
Africa,,1991,9080712318420.41
Africa,,1992,9449702262878.418
Africa,,1993,9565950393676.758
Africa,,1994,8719087600708.008
Africa,,1995,9486225128173.828
Africa,,1996,9716491699218.75
Africa,,1997,10152203559875.488
Africa,,1998,10294591903686.523
Africa,,1999,10942306518554.688
Africa,,2000,11925086021423.34
Africa,,2001,12546778678894.043
Africa,,2002,13152341842651.367
Africa,,2003,13366385459899.902
Africa,,2004,13581757545471.191
Africa,,2005,13578354835510.254
Africa,,2006,13649533271789.55
Africa,,2007,13923645019531.25
Africa,,2008,14027757644653.32
Africa,,2009,14148361206054.688
Africa,,2010,14009844779968.262
Africa,,2011,14094850540161.133
Africa,,2012,14032098770141.602
Africa,,2013,13967386245727.54
Africa,,2014,14136697769165.04
Africa,,2015,13984825134277.344
Africa,,2016,14418523788452.148
Africa,,2017,14535764694213.867
Africa,,2018,14595973014831.543
Africa,,2019,14946022033691.406
Africa,,2020,12888077735900.879
Africa (BP),,1980,5745695590972.9
Africa (BP),,1981,5672843456268.311
Africa (BP),,1982,6030209541320.801
Africa (BP),,1983,6032937526702.881
Africa (BP),,1984,5964087486267.09
Africa (BP),,1985,5913750171661.377
Africa (BP),,1986,7093112468719.482
Africa (BP),,1987,7074612617492.676
Africa (BP),,1988,7351974964141.846
Africa (BP),,1989,8104049682617.1875
Africa (BP),,1990,8179175376892.09
Africa (BP),,1991,9080712318420.41
Africa (BP),,1992,9449702262878.418
Africa (BP),,1993,9565950393676.758
Africa (BP),,1994,8719087600708.008
Africa (BP),,1995,9486225128173.828
Africa (BP),,1996,9716491699218.75
Africa (BP),,1997,10152203559875.488
Africa (BP),,1998,10294590950012.207
Africa (BP),,1999,10942306518554.688
Africa (BP),,2000,11925086021423.34
Africa (BP),,2001,12546778678894.043
Africa (BP),,2002,13152341842651.367
Africa (BP),,2003,13366385459899.902
Africa (BP),,2004,13581757545471.191
Africa (BP),,2005,13578354835510.254
Africa (BP),,2006,13649533271789.55
Africa (BP),,2007,13923645019531.25
Africa (BP),,2008,14027757644653.32
Africa (BP),,2009,14148361206054.688
Africa (BP),,2010,14009844779968.262
Africa (BP),,2011,14094850540161.133
Africa (BP),,2012,14032098770141.602
Africa (BP),,2013,13967386245727.54
Africa (BP),,2014,14136697769165.04
Africa (BP),,2015,13984825134277.344
Africa (BP),,2016,14418523788452.148
Africa (BP),,2017,14535764694213.867
Africa (BP),,2018,14595973014831.543
Africa (BP),,2019,14946022033691.406
Africa (BP),,2020,12888077735900.879
Algeria,DZA,1980,3581462383270.2637
Algeria,DZA,1981,3540075063705.4443
Algeria,DZA,1982,3477512598037.7197
Algeria,DZA,1983,3398587465286.255
Algeria,DZA,1984,3312925100326.538
Algeria,DZA,1985,3223412513732.91
Algeria,DZA,1986,3136787414550.7812
Algeria,DZA,1987,3044387578964.2334
Algeria,DZA,1988,3112725019454.956
Algeria,DZA,1989,3128124952316.284
Algeria,DZA,1990,3176249980926.5137
Algeria,DZA,1991,3490025043487.549
Algeria,DZA,1992,3513124942779.541
Algeria,DZA,1993,3561249971389.7705
Algeria,DZA,1994,2851887464523.3154
Algeria,DZA,1995,3551625013351.4404
Algeria,DZA,1996,3561249971389.7705
Algeria,DZA,1997,3924112558364.868
Algeria,DZA,1998,3924112558364.868
Algeria,DZA,1999,4350500106811.5234
Algeria,DZA,2000,4353387355804.4434
Algeria,DZA,2001,4353387355804.4434
Algeria,DZA,2002,4353387355804.4434
Algeria,DZA,2003,4374562263488.7695
Algeria,DZA,2004,4374562263488.7695
Algeria,DZA,2005,4335292339324.951
Algeria,DZA,2006,4335292339324.951
Algeria,DZA,2007,4335100173950.1953
Algeria,DZA,2008,4335100173950.1953
Algeria,DZA,2009,4335100173950.1953
Algeria,DZA,2010,4335100173950.1953
Algeria,DZA,2011,4335100173950.1953
Algeria,DZA,2012,4335011482238.7695
Algeria,DZA,2013,4335011482238.7695
Algeria,DZA,2014,4335100173950.1953
Algeria,DZA,2015,4335100173950.1953
Algeria,DZA,2016,4335100173950.1953
Algeria,DZA,2017,4335100173950.1953
Algeria,DZA,2018,4335100173950.1953
Algeria,DZA,2019,4335100173950.1953
Algeria,DZA,2020,2279200077056.885
Argentina,ARG,1980,624975025653.8391
Argentina,ARG,1981,631799995899.2004
Argentina,ARG,1982,674700021743.7744
Argentina,ARG,1983,662024974822.998
Argentina,ARG,1984,651300013065.3381
Argentina,ARG,1985,663975000381.4697
Argentina,ARG,1986,654224991798.4009
Argentina,ARG,1987,675674974918.3655
Argentina,ARG,1988,753674983978.2715
Argentina,ARG,1989,654224991798.4009
Argentina,ARG,1990,643499970436.0962
Argentina,ARG,1991,626924991607.666
Argentina,ARG,1992,527474999427.7954
Argentina,ARG,1993,504074990749.35913
Argentina,ARG,1994,521624982357.02515
Argentina,ARG,1995,603524982929.2297
Argentina,ARG,1996,625949978828.4302
Argentina,ARG,1997,666899979114.5325
Argentina,ARG,1998,669825017452.24
Argentina,ARG,1999,710775017738.3423
